run_id,timestamp,product_id,name,brand,category,gender,mrp,price,discount_pct,rating,rating_count,daily_units_est,monthly_units_est,net_daily_units_est,net_monthly_units_est,confidence,est_method,signal_breakdown,inv_depletion_daily,rating_vel_daily,rank_score_daily,urgency_daily,keyword,position,is_ad
20260321_161318,2026-03-21T16:13:18,30113848,Red Tape Men Colourblocked Sneakers,Red Tape,Casual Shoes,Men,6799.0,1563.0,77.0,4.36415958404541,6953,11.2,336.0,7.8,234.0,low,rank_only,"{""rank_score"": 11.2}",0.0,0.0,11.2,0.0,sneakers,25,False
20260321_161318,2026-03-21T16:13:18,33949583,Hopits Girls Blue Woven Design Velcro Round Toe Sneakers,Hopits,Casual Shoes,Girls,2999.0,1248.0,58.4,4.627551078796387,196,10.0,300.0,7.0,210.0,low,rank_only,"{""rank_score"": 10.0}",0.0,0.0,10.0,0.0,sneakers,26,False
20260321_161318,2026-03-21T16:13:18,39233034,HOOH Now Comfort in Fashion Girls Frozen Textured Sneakers,HOOH Now Comfort in Fashion,Casual Shoes,Girls,1299.0,455.0,65.0,4.346368789672852,179,8.8,264.0,6.2,186.0,low,rank_only,"{""rank_score"": 8.8}",0.0,0.0,8.8,0.0,sneakers,27,False
20260321_161318,2026-03-21T16:13:18,38265784,Shozie Girls Colourblocked Sneakers,Shozie,Casual Shoes,Girls,999.0,489.0,51.1,4.104650974273682,430,7.8,234.0,5.5,165.0,low,rank_only,"{""rank_score"": 7.8}",0.0,0.0,7.8,0.0,sneakers,28,False
20260321_161318,2026-03-21T16:13:18,31595780,BOYZ N GALZ Girls Textured PU Slip-On Sneakers,BOYZ N GALZ,Casual Shoes,Girls,1199.0,499.0,58.4,4.461538314819336,13,6.9,207.0,4.8,144.0,low,rank_only,"{""rank_score"": 6.9}",0.0,0.0,6.9,0.0,sneakers,29,False
20260321_161318,2026-03-21T16:13:18,39411454,Robbie Jones Men Colourblocked PU Sneakers,Robbie Jones,Casual Shoes,Men,1999.0,800.0,60.0,3.5840706825256348,113,6.2,186.0,4.3,129.0,low,rank_only,"{""rank_score"": 6.2}",0.0,0.0,6.2,0.0,sneakers,30,False
20260321_161318,2026-03-21T16:13:18,39078575,HOOH Now Comfort in Fashion Unisex Kids Colourblocked Sneakers,HOOH Now Comfort in Fashion,Casual Shoes,Unisex Kids,1299.0,456.0,64.9,4.09846830368042,457,5.5,165.0,3.8,114.0,low,rank_only,"{""rank_score"": 5.5}",0.0,0.0,5.5,0.0,sneakers,31,False
20260321_161318,2026-03-21T16:13:18,37839861,Pantaloons Baby Boys Colourblocked PU Sneakers,Pantaloons Baby,Casual Shoes,Boys,599.0,599.0,0.0,3.133333444595337,45,4.8,144.0,3.4,102.0,low,rank_only,"{""rank_score"": 4.8}",0.0,0.0,4.8,0.0,sneakers,32,False
20260321_161318,2026-03-21T16:13:18,24919920,Puma Carina Slim Perf Women Sneakers,Puma,Casual Shoes,Women,4499.0,1799.0,60.0,4.334214687347412,12100,4.3,129.0,3.0,90.0,low,rank_only,"{""rank_score"": 4.3}",0.0,0.0,4.3,0.0,sneakers,33,False
20260321_161318,2026-03-21T16:13:18,30396659,ASIAN Men Colourblocked Round Toe Mid-Top Sneakers,ASIAN,Casual Shoes,Men,1499.0,704.0,53.0,3.9791200160980225,14751,3.8,114.0,2.7,81.0,low,rank_only,"{""rank_score"": 3.8}",0.0,0.0,3.8,0.0,sneakers,34,False
20260321_161318,2026-03-21T16:13:18,27083406,BAESD Kids Colourblocked LED Sneakers,BAESD,Casual Shoes,Unisex Kids,2000.0,361.0,82.0,4.392831802368164,2818,3.4,102.0,2.4,72.0,low,rank_only,"{""rank_score"": 3.4}",0.0,0.0,3.4,0.0,sneakers,35,False
20260321_161318,2026-03-21T16:13:18,20143948,Roadster Men Black Colourblocked Casual Textile Sneakers,Roadster,Casual Shoes,Men,3795.0,998.0,73.7,3.8487420082092285,3299,3.0,90.0,2.1,63.0,low,rank_only,"{""rank_score"": 3.0}",0.0,0.0,3.0,0.0,sneakers,36,False
